+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-03-28 22:00:00 | 2019-04-08 13:30:00 |
+--------------+---------------------+---------------------+
+--------+-------------+--------------+---------------+
| ident  | xref_id     | pending_time | reaction_time |
| 328218 | jira-58868  |     1112.561 |         0.166 |
| 328175 | jira-58852  |      793.464 |         0.167 |
| 337055 | jira-61813  |     2103.981 |         0.167 |
| 337244 | jira-61850  |     7592.172 |         0.167 |
| 350585 | jira-58606  |    22580.836 |         0.167 |
| 350593 | jira-64304  |    22676.230 |         0.167 |
| 350608 | jira-64306  |    22773.581 |         0.167 |
| 350620 | jira-64309  |    26871.106 |         0.167 |
| 341120 | jira-60709  |     8617.067 |         0.167 |
| 354365 | jira-60174  |      279.874 |         0.167 |
| 354466 | jira-60034  |     1036.603 |         0.167 |
| 332705 | jira-60599  |   776920.854 |         0.167 |
| 333186 | jira-61026  |    11611.323 |         0.167 |
| 333257 | jira-61093  |    12185.306 |         0.167 |
| 334342 | jira-62137  |    19605.000 |         0.167 |
| 332183 | jira-60242  |   772506.117 |         0.168 |
| 332864 | jira-60765  |   778176.409 |         0.168 |
| 336938 | jira-61908  |     1222.531 |         0.168 |
| 337167 | jira-61577  |     2991.723 |         0.168 |
| 328155 | jira-58838  |      603.980 |         0.168 |
| 353623 | jira-60494  |     4807.869 |         0.168 |
| 350582 | jira-64308  |    22581.015 |         0.169 |
| 328167 | jira-58845  |      698.173 |         0.169 |
| 330933 | jira-59440  |     3847.980 |         0.169 |
| 332573 | jira-60476  |   775898.060 |         0.169 |
| 332637 | jira-60538  |   776407.099 |         0.169 |
| 332758 | jira-60657  |   777331.698 |         0.169 |
| 333025 | jira-60926  |   779418.146 |         0.169 |
| 333510 | jira-61350  |    18197.937 |         0.169 |
| 341370 | jira-40287  |     9014.749 |         0.169 |
| 337325 | jira-61239  |     8193.011 |         0.169 |
| 337403 | jira-61770  |     8792.397 |         0.169 |
| 354351 | jira-60275  |      185.005 |         0.169 |
| 354376 | jira-60242  |      376.876 |         0.170 |
| 328139 | jira-58832  |      503.602 |         0.170 |
| 350610 | jira-64304  |    22801.157 |         0.170 |
| 332569 | jira-60474  |   775833.175 |         0.170 |
| 332835 | jira-60732  |   777977.704 |         0.170 |
| 333087 | jira-60989  |   779962.940 |         0.170 |
| 333197 | jira-61036  |    11705.601 |         0.170 |
| 333237 | jira-61076  |    12019.020 |         0.170 |
| 333239 | jira-61081  |    12020.037 |         0.170 |
| 337344 | jira-61234  |     8316.166 |         0.170 |
| 337145 | jira-61244  |     2800.845 |         0.171 |
| 337206 | jira-61764  |     3239.215 |         0.171 |
| 350557 | jira-58608  |    22388.023 |         0.171 |
| 350595 | jira-58604  |    22676.389 |         0.171 |
| 350596 | jira-58608  |    22676.635 |         0.171 |
| 353350 | jira-60754  |       17.199 |         0.171 |
| 328160 | jira-58842  |      629.492 |         0.171 |
| 332559 | jira-60464  |   775800.569 |         0.171 |
| 332709 | jira-60610  |   776943.836 |         0.171 |
| 332923 | jira-60821  |   778617.392 |         0.171 |
| 333008 | jira-60906  |   779293.673 |         0.171 |
| 333397 | jira-61238  |    17233.997 |         0.171 |
| 333861 | jira-61706  |    20914.402 |         0.171 |
| 333939 | jira-61784  |    21520.995 |         0.171 |
| 363452 | jira-39959  |     1512.132 |         0.171 |
| 350560 | jira-64302  |    22388.108 |         0.172 |
| 350584 | jira-64309  |    22580.741 |         0.172 |
