+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 18:30:00 | 2019-04-02 19:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 29558 | caagc-46117 |        0.009 |         0.588 |
| 30028 | caagc-46588 |        0.009 |         0.588 |
| 29436 | caagc-45694 |        0.009 |         0.589 |
| 29868 | caagc-46613 |        0.010 |         0.591 |
| 29998 | caagc-46610 |        0.010 |         0.591 |
| 29894 | caagc-46610 |        0.008 |         0.593 |
| 30138 | caagc-51495 |        0.037 |         0.594 |
| 30193 | caagc-51494 |        0.016 |         0.594 |
| 29850 | caagc-46598 |        0.032 |         0.595 |
| 29805 | caagc-46583 |        0.035 |         0.597 |
| 29887 | caagc-46626 |        0.010 |         0.597 |
| 30102 | caagc-51502 |        0.011 |         0.597 |
| 30173 | caagc-51490 |        0.011 |         0.597 |
| 29577 | caagc-45907 |        0.010 |         0.598 |
| 29971 | caagc-46589 |        0.010 |         0.598 |
| 30003 | caagc-46571 |        0.009 |         0.599 |
| 29551 | caagc-45692 |        0.009 |         0.600 |
| 29902 | caagc-46592 |        0.010 |         0.600 |
| 30061 | caagc-51484 |        0.010 |         0.600 |
| 29811 | caagc-46570 |        0.009 |         0.601 |
| 30024 | caagc-46581 |        0.010 |         0.601 |
| 30184 | caagc-46066 |        0.011 |         0.601 |
| 29738 | caagc-51129 |        0.013 |         0.602 |
| 29910 | caagc-46571 |        0.010 |         0.603 |
| 30103 | caagc-51503 |        0.010 |         0.603 |
| 29804 | caagc-46584 |        0.035 |         0.605 |
| 30106 | caagc-51486 |        0.009 |         0.605 |
| 29822 | caagc-46599 |        0.040 |         0.606 |
| 29587 | jira-16472  |        0.009 |         0.607 |
| 30130 | caagc-51513 |        0.010 |         0.607 |
| 29573 | caagc-50683 |        0.009 |         0.609 |
| 29736 | caagc-45784 |        0.008 |         0.609 |
| 29748 | caagc-45687 |        0.008 |         0.609 |
| 29901 | caagc-46598 |        0.007 |         0.609 |
| 30181 | caagc-51479 |        0.039 |         0.610 |
| 29806 | caagc-46617 |        0.041 |         0.612 |
| 29461 | caagc-50682 |        0.008 |         0.613 |
| 29572 | jira-17447  |        0.009 |         0.613 |
| 30095 | caagc-51488 |        0.010 |         0.613 |
| 29372 | caagc-46625 |        0.008 |         0.616 |
| 29548 | caagc-45786 |        0.012 |         0.616 |
| 30017 | caagc-46580 |        0.007 |         0.616 |
| 30080 | caagc-51477 |        0.019 |         0.616 |
| 30101 | caagc-51505 |        0.010 |         0.616 |
| 30174 | caagc-51472 |        0.010 |         0.617 |
| 30098 | caagc-51490 |        0.009 |         0.618 |
| 30007 | caagc-46601 |        0.012 |         0.619 |
| 29880 | caagc-46581 |        0.009 |         0.620 |
| 29986 | caagc-46577 |        0.010 |         0.620 |
| 29570 | caagc-45584 |        0.009 |         0.621 |
| 29579 | caagc-46119 |        0.010 |         0.621 |
| 30139 | caagc-51477 |        0.009 |         0.622 |
| 29992 | caagc-46593 |        0.009 |         0.623 |
| 30070 | caagc-51481 |        0.011 |         0.623 |
| 30099 | caagc-51475 |        0.010 |         0.623 |
| 30063 | caagc-51509 |        0.009 |         0.626 |
| 30077 | caagc-51497 |        0.010 |         0.626 |
| 29964 | caagc-47104 |        0.009 |         0.627 |
| 29360 | caagc-46613 |        0.008 |         0.628 |
| 29490 | caagc-46597 |        0.011 |         0.628 |
| 29849 | caagc-47104 |        0.009 |         0.628 |
| 29557 | caagc-50681 |        0.010 |         0.629 |
| 30023 | caagc-46608 |        0.007 |         0.629 |
| 29800 | caagc-46613 |        0.009 |         0.630 |
| 29723 | caagc-46100 |        0.009 |         0.631 |
| 29827 | caagc-46581 |        0.015 |         0.631 |
| 29397 | caagc-46571 |        0.009 |         0.632 |
| 30011 | caagc-46623 |        0.011 |         0.632 |
| 30171 | caagc-51530 |        0.009 |         0.632 |
| 30086 | caagc-51507 |        0.010 |         0.633 |
| 30105 | caagc-51506 |        0.009 |         0.633 |
| 29353 | caagc-46578 |        0.008 |         0.634 |
| 30001 | caagc-46609 |        0.014 |         0.634 |
| 30068 | caagc-51482 |        0.010 |         0.634 |
| 30097 | caagc-51470 |        0.010 |         0.634 |
| 29749 | caagc-46233 |        0.009 |         0.635 |
| 30018 | caagc-46611 |        0.010 |         0.636 |
| 30104 | caagc-51479 |        0.008 |         0.636 |
| 29546 | jira-12865  |        0.009 |         0.638 |
| 29812 | caagc-46610 |        0.009 |         0.638 |
| 29527 | caagc-46791 |        0.009 |         0.641 |
| 30062 | caagc-51504 |        0.009 |         0.641 |
| 30067 | caagc-51478 |        0.010 |         0.641 |
| 29486 | caagc-46591 |        0.009 |         0.642 |
| 30005 | caagc-46622 |        0.009 |         0.643 |
| 30074 | caagc-51500 |        0.010 |         0.643 |
| 29489 | jira-17486  |        0.008 |         0.645 |
| 29499 | caagc-46612 |        0.008 |         0.645 |
| 30256 | caagc-51548 |        0.011 |         0.645 |
| 29400 | caagc-46614 |        0.008 |         0.646 |
| 29459 | caagc-46602 |        0.009 |         0.646 |
| 29909 | caagc-46586 |        0.008 |         0.646 |
| 30092 | caagc-46068 |        0.010 |         0.646 |
| 30081 | caagc-51480 |        0.011 |         0.647 |
| 29752 | caagc-45688 |        0.008 |         0.648 |
