+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| fb8863e3-ff3d-46d2-bd63-81827d9cc8e5 | caagc-46814 | INSERT        |      3 | 2019-03-21 20:39:10 | Project is required |
| efda9dc4-390a-4faa-8182-b034e0a4504b | caagc-46792 | INSERT        |      3 | 2019-03-21 20:29:37 | Project is required |
| ef0f493d-c462-47f5-b19d-faab2e4839c5 | caagc-46747 | INSERT        |      3 | 2019-03-21 19:38:49 | Project is required |
| 84d0aee5-ff2f-4715-9a88-463dceefa119 | caagc-46706 | INSERT        |      3 | 2019-03-21 18:50:01 | Project is required |
| 7dfe579c-98e0-4dee-b283-f17d494ff17f | caagc-46702 | INSERT        |      3 | 2019-03-21 18:35:25 | Project is required |
| 19ce1567-653c-493c-9d4c-ca5d749f1ceb | caagc-46680 | INSERT        |      3 | 2019-03-21 18:07:37 | Project is required |
| 04ca5b0a-bea9-47f4-ba73-a3071fd4f002 | caagc-46647 | INSERT        |      3 | 2019-03-21 17:46:59 | Project is required |
| 8e1e73af-a9be-4434-824e-d505830c5a34 | caagc-46630 | INSERT        |      3 | 2019-03-21 17:29:51 | Project is required |
| 1bf77ec8-01d6-4184-bd26-3cec3f57d011 | caagc-46629 | INSERT        |      3 | 2019-03-21 17:29:44 | Project is required |
| 09b0915f-3639-4a41-b28b-6005ca3b3d9c | caagc-46628 | INSERT        |      3 | 2019-03-21 17:29:26 | Project is required |
| 437776fd-2152-4d78-abaa-1dfee715143e | caagc-46627 | INSERT        |      3 | 2019-03-21 17:29:21 | Project is required |
| 1d34a61c-7fa3-4036-804e-ab1e93e839c5 | caagc-46626 | INSERT        |      3 | 2019-03-21 17:29:13 | Project is required |
| 19672b55-bb48-47a5-a90a-963932fd10b5 | caagc-46479 | INSERT        |      3 | 2019-03-21 15:40:01 | Project is required |
| b5e3d29c-e3d5-42ae-b751-5f74c0407437 | caagc-46455 | INSERT        |      3 | 2019-03-21 15:21:32 | Project is required |
| 65d20d38-ea64-4150-8068-24ccaa3e1388 | caagc-46448 | INSERT        |      3 | 2019-03-21 15:16:16 | Project is required |
| bcf3b316-68a0-428a-a7dc-88d84b7c3eb6 | caagc-46446 | INSERT        |      3 | 2019-03-21 15:14:02 | Project is required |
| d33144df-d0e2-442a-9570-07f6f78ce791 | caagc-46444 | INSERT        |      3 | 2019-03-21 15:12:25 | Project is required |
| eaa1b841-9598-4804-9797-b8ce4aa8e4df | caagc-46439 | INSERT        |      3 | 2019-03-21 15:08:23 | Project is required |
| 31651d2a-1b54-4d4e-9202-fc5aa7fd4477 | caagc-46437 | INSERT        |      3 | 2019-03-21 15:07:36 | Project is required |
| bef0d782-0a1a-48e9-9bea-18470facbc6b | caagc-46435 | INSERT        |      3 | 2019-03-21 15:06:12 | Project is required |
| 6fc535e9-9d0e-48d1-b3bb-42080ab55bec | caagc-46430 | INSERT        |      3 | 2019-03-21 15:02:46 | Project is required |
