+------------------+---------------+--------+--------------------------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                                               |
| PCDA-245         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-408         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-524         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-391         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-527         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-66          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-260         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-75          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-401         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-494         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-500         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-215         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-399         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-253         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-502         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-505         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-257         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-503         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
+------------------+---------------+--------+--------------------------------------------------------------------------+
