+------------------+---------------+--------+------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                           |
| CBC-2198         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2159         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2202         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2179         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2176         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2175         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2162         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2195         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2201         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2192         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2163         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2206         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2181         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2157         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2170         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2189         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2205         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2208         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2207         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2194         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2190         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2168         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2183         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2171         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2185         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2196         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2173         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2178         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2166         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2184         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2174         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2180         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2169         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2191         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2200         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2160         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2187         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2164         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2203         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
