+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 13:00:00 | 2019-04-02 22:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 29867 | caagc-46625 |        0.034 |         0.550 |
| 29215 | jira-17652  |        0.051 |         0.551 |
| 30157 | caagc-51537 |        0.007 |         0.551 |
| 29900 | caagc-46579 |        0.009 |         0.552 |
| 30014 | caagc-46575 |        0.009 |         0.555 |
| 29550 | caagc-46105 |        0.009 |         0.558 |
| 30395 | caagc-51524 |        0.012 |         0.561 |
| 29727 | caagc-45245 |        0.009 |         0.562 |
| 30368 | caagc-51544 |        0.012 |         0.562 |
| 30438 | caagc-47104 |        0.011 |         0.562 |
| 29553 | caagc-46779 |        0.009 |         0.563 |
| 30020 | caagc-46626 |        0.009 |         0.563 |
| 29908 | caagc-46603 |        0.010 |         0.564 |
| 30140 | caagc-46066 |        0.009 |         0.564 |
| 30367 | caagc-51516 |        0.011 |         0.565 |
| 29552 | caagc-45565 |        0.009 |         0.566 |
| 29889 | caagc-46601 |        0.036 |         0.566 |
| 29569 | caagc-45347 |        0.009 |         0.567 |
| 29993 | caagc-46624 |        0.010 |         0.567 |
| 29843 | caagc-46592 |        0.009 |         0.568 |
| 29854 | caagc-46591 |        0.009 |         0.568 |
| 30087 | caagc-51498 |        0.007 |         0.568 |
| 29585 | caagc-46116 |        0.010 |         0.569 |
| 29840 | caagc-46601 |        0.009 |         0.569 |
| 30131 | caagc-51475 |        0.035 |         0.569 |
| 30346 | caagc-51506 |        0.008 |         0.569 |
| 30428 | caagc-51545 |        0.015 |         0.570 |
| 29884 | caagc-46609 |        0.010 |         0.571 |
| 29987 | caagc-46578 |        0.010 |         0.571 |
| 30337 | caagc-51480 |        0.012 |         0.572 |
| 30407 | caagc-46580 |        0.017 |         0.573 |
| 30434 | caagc-46600 |        0.011 |         0.573 |
| 30377 | caagc-46576 |        0.007 |         0.574 |
| 30440 | caagc-46605 |        0.010 |         0.574 |
| 29421 | caagc-46759 |        0.008 |         0.575 |
| 30218 | caagc-46096 |        0.008 |         0.575 |
| 29575 | caagc-50678 |        0.010 |         0.576 |
| 29847 | caagc-46616 |        0.012 |         0.576 |
| 29873 | caagc-46617 |        0.009 |         0.576 |
| 29882 | caagc-47104 |        0.009 |         0.576 |
| 30389 | caagc-51552 |        0.009 |         0.576 |
| 30391 | caagc-46591 |        0.011 |         0.576 |
| 30432 | caagc-46621 |        0.011 |         0.576 |
| 29984 | caagc-46583 |        0.010 |         0.577 |
| 29591 | caagc-45592 |        0.010 |         0.578 |
| 29893 | caagc-46611 |        0.009 |         0.578 |
| 30079 | caagc-51487 |        0.010 |         0.579 |
| 30164 | caagc-51538 |        0.010 |         0.579 |
| 30429 | caagc-46604 |        0.010 |         0.580 |
| 29239 | jira-17674  |        0.153 |         0.581 |
| 30339 | caagc-51481 |        0.012 |         0.581 |
| 29846 | caagc-46588 |        0.009 |         0.582 |
| 30404 | caagc-46579 |        0.008 |         0.582 |
| 29973 | caagc-46598 |        0.010 |         0.583 |
| 29584 | caagc-45683 |        0.007 |         0.584 |
| 29814 | caagc-46615 |        0.007 |         0.585 |
| 29820 | caagc-46594 |        0.009 |         0.585 |
| 29888 | caagc-46600 |        0.013 |         0.585 |
| 30219 | caagc-51513 |        0.010 |         0.585 |
| 30317 | caagc-51494 |        0.011 |         0.585 |
| 30439 | caagc-51540 |        0.011 |         0.585 |
| 30025 | caagc-46617 |        0.010 |         0.586 |
| 29566 | caagc-45787 |        0.010 |         0.587 |
| 29862 | caagc-46583 |        0.055 |         0.587 |
| 29981 | caagc-46594 |        0.009 |         0.587 |
| 30015 | caagc-46612 |        0.010 |         0.587 |
