+----------+
| COUNT(*) |
+----------+
|      720 |
+----------+
+------------------+------------+---------------+--------+------------------------------------------------------+
| source_object_id | xref_id    | source_action | status | reason_str                                           |
| CBC-3497         | jira-33957 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3579         | jira-33958 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3411         | jira-33959 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3416         | jira-33960 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3590         | jira-33963 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3731         | jira-33965 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3593         | jira-33966 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3638         | jira-33967 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3582         | jira-33968 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3581         | jira-33969 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3684         | jira-33972 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3642         | jira-33971 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3742         | jira-33970 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3639         | jira-33973 | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-2197         | jira-35755 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2193         | jira-35776 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2182         | jira-35795 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2172         | jira-35797 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2198         | jira-35804 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2159         | jira-35820 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2202         | jira-35825 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2179         | jira-35828 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2176         | jira-35843 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2175         | jira-35851 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2162         | jira-35864 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2195         | jira-35940 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2201         | jira-35943 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2192         | jira-35952 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2163         | jira-35974 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2206         | jira-35996 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
